ITEMNO,ITEMNAME,ITEMDESC,ITEMPRICE,RAIRTY
0,유리 대포,대미지 + <color=#00ff00ff>33%</color><br>방어력 - <color=#B90E0A>20</color>,88,0
1,유폭탄,공격이 적중한 적이 10%<size=50%><color=#4FFBFF>곱연산</color></size> 확률로 폭발하여 8의 범위 대미지<size=50%>고정 대미지</color>를 입힙니다.,79,0
2,주머니,최대 탄약 + <color=#00ff00ff>5%</color><br>공격속도 +<color=#00ff00ff>2%</color><br>이동속도 - <color=#B90E0A>2%</color>,18,0
3,너클,치명타 + <color=#00ff00ff>3%</color><br>대미지 + <color=#00ff00ff>3%</color><br>공격속도 - <color=#B90E0A>3%</color>,22,0
4,벨트,체력 + <color=#00ff00ff>6%</color> <br> 이동속도 - <color=#B90E0A>2%</color>,23,0
5,채찍,이동속도 + <color=#00ff00ff>7%</color><br>공격력 + <color=#00ff00ff>3%</color><br>공격속도 + <color=#00ff00ff>3%</color><br>체력 - <color=#B90E0A>5%</color>,30,0
6,계약서,대미지 + <color=#00ff00ff>4%</color><br>공격속도 + <color=#B90E0A>1%</color>,20,0
7,빨간 열매,일반 스킬 쿨타임 - <color=#00ff00ff>5% </color><br>치명타 - <color=#B90E0A>1%</color>,22,0
8,과도,대미지 : 30 <br>공격속도 : 0.8/초 <br>근거리,28,0
9,단궁,대미지 : 12 <br>공격속도 : 1/초 <br>원거리 <br>치명타 확률 : 40%,35,0
10,투척용 도끼,대미지 : 8 <br>공격속도 : 0.3/초 <br>원거리 <br>산탄(x8) <br>치명타 확률 : 20%,40,0
